nid,error,error_num
5200,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5201,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5201,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5209,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5209,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5210,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5210,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5211,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5211,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5212,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5212,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5214,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5214,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5217,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5217,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5218,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5218,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5219,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5219,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5192,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5192,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5251,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5251,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5254,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5254,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5091,"Member Raynall, Guillaume T. F. (4351) is indicated by bib number but does not appear in creators",5
5091,"Member Raynall, Guillaume T. F. (4351) appears in members but not creators",4
5925,"Member Coste, Jean F. (4327) is indicated by bib number but does not appear in creators",5
5925,"Member Coste, Jean F. (4327) appears in members but not creators",4
5107,"Member Raynall, Guillaume T. F. (4351) is indicated by bib number but does not appear in creators",5
5107,"Member Raynall, Guillaume T. F. (4351) appears in members but not creators",4
6371,"Member Franklin, Benjamin (4249) appears in members but is not accounted for in bib_number 106",2
5317,"Member Vergennes, Charles G. (4258) is indicated by bib number but does not appear in creators",5
5317,"Member Vergennes, Charles G. (4258) appears in members but not creators",4
5317,"Creator Franklin, Benjamin, 1706-1790 (member 4249) appears in creators but not members",6
8018,"Member Franklin, Benjamin (4249) appears in members but is not accounted for in bib_number 465",2
4745,"Member Franklin, William Temple (9993) appears in members but is not accounted for in bib_number 3",2
6857,"Member Smith, William (1727-1803), Provost (4609) is indicated by bib number but does not appear in creators",5
6857,"Member Smith, William (1727-1803), Provost (4609) appears in members but not creators",4
6540,"Member Mayer, Christian (4495) is indicated by bib number but does not appear in creators",5
6540,"Member Mayer, Christian (4495) appears in members but not creators",4
6664,"Member Stillman, Samuel (4514) is indicated by bib number but does not appear in creators",5
6664,"Member Stillman, Samuel (4514) appears in members but not creators",4
5122,"Member Chastellux, Francois J. (4315) is indicated by bib number but does not appear in creators",5
5122,"Member Chastellux, Francois J. (4315) appears in members but not creators",4
5770,"Member Fontana, Felice (4336) is indicated by bib number but does not appear in creators",5
5770,"Member Fontana, Felice (4336) appears in members but not creators",4
6095,"Member Stiles, Ezra (4616) is indicated by bib number but does not appear in creators",5
6095,"Member Stiles, Ezra (4616) appears in members but not creators",4
6517,"Member Bergius, Peter Jonas (4497) is indicated by bib number but does not appear in creators",5
6517,"Member Bergius, Peter Jonas (4497) appears in members but not creators",4
5312,"Member Gerard de Rayneval, Conrad A. (4303) appears in members but is not accounted for in bib_number 431",2
5312,"Member Vergennes, Charles G. (4258) is indicated by bib number but does not appear in creators",5
5312,"Member Vergennes, Charles G. (4258) appears in members but not creators",4
6124,"Member Gibbons, Thomas (4350) is indicated by bib number but does not appear in creators",5
6124,"Member Gibbons, Thomas (4350) appears in members but not creators",4
4738,"Member Franklin, Benjamin (4249) is indicated by bib number but does not appear in creators",5
4738,"Member Franklin, Benjamin (4249) appears in members but not creators",4
7030,"Member Godfrey, Thomas (4704) is indicated by bib number but does not appear in creators",5
7030,"Member Godfrey, Thomas (4704) appears in members but not creators",4
7031,"Member Godfrey, Thomas (4704) is indicated by bib number but does not appear in creators",5
7031,"Member Godfrey, Thomas (4704) appears in members but not creators",4
7032,"Member Godfrey, Thomas (4704) is indicated by bib number but does not appear in creators",5
7032,"Member Godfrey, Thomas (4704) appears in members but not creators",4
5840,"Member Jefferson, Thomas (4311) is indicated by bib number but does not appear in creators",5
5840,"Member Jefferson, Thomas (4311) appears in members but not creators",4
