nid,nid_old,heading,changed_from
470,470|471,"Bushy Run, Battle of, Pa., 1763",
472,472,"Cagliostro, Alessandro, conte di, 1743-1795--Trials--litigation--etc",
473,473,Caisse d'escompte (France),
475,475,Calculus,
474,474,"Calculus, Integral",
476,476,Calendar,
477,477,Calvinism,
478,478,Calvinists--Early works to 1800,
480,480,Camisards,
479,479,Camisards--Early works to 1800,
481,481,"Camm, John, 1718-1778 or 1779. Single and distinct view of the act, vulgarly entitled, The two-penny act",
482,482,Canada--Commerce--Early works to 1800,
483,483,Canada--Eastern--Description and travel,
484,484,Canada--History--1755-1763,
485,485|487,Canada--History--To 1763 (New France),
486,486,Canada--History--To 1763 (New France)--Sources,
488,488,"Canadian Invasion, 1775-1776",
493,493,Canals,
489,489,Canals--Early works to 1800,
7857,7857,Canals--France,
490,490,Canals--Ireland,
492,492,Canals--Pennsylvania,
491,491,Canals--Pennsylvania--Early works to 1800,
7858,7858,Canaux--France,
494,494,Canon law,
495,495,"Cantatas, Sacred",
497,497,Cantharides,
496,496,Cantharides--Early works to 1800,
498,498,Capital punishment,
499,499,Capture at sea,
500,500,"Carbon dioxide, Early works to 1800",
501,501,Carthusians--Spain,
504,504,Cartography,
502,502,Cartography--Europe--Early works to 1800,
503,503,Cartography--Russia--Early works to 1800,
1214,1214|505|506,Catalogs,
507,507,Cataracte (maladie)--Chirurgie,
508,508,Catechisms,
510,510,Cathedrals,
509,509,Cathedrals--Germany--Ulm--Early works to 1800,
511,511,"Catherine, of Aragon, Queen, consort of Henry VIII, King of England, 1485-1536",
512,512,"Catherine, of Aragon, Queen, consort of Henry VIII, King of England, 1485-1536--Divorce",
516,516|517,Catholic Church,
518,518,Catholic Church. Diocese of Cuenca (Spain),
1874,1874,Catholic Church. Diocese of Cuenca (Spain)--History--Sources,
7811,7811,Catholic Church--Controversial literature,
513,513,Catholic Church--Controversial literature--Early works to 1800,
7815,7815,Catholic Church--Controversial literature--Protestant authors,
515,515,Catholic Church--Spain,
514,514,Catholic Church--Spain--History--18th century--Sources,
519,519,Catholics--Government policy--Great Britain,
520,520,Cattle--Housing,
522,522,Cavalry,
521,521,Cavalry drill and tactics,
523,523,Celestial mechanics--Early works to 1800,
524,524,Celtic languages--Etymology,
7982,7982,Census,
525,525,Cesspools,
86,86,"Chalmers, James, 1727?-1806. Plain truth",
87,87,Chansons--17e siècle Voir les notices liées en tant que genre ou forme,
526,526,Chansons--18e siècle,
527,527,Character--United States--Early works to 1800,
529,529,"Charitable uses, trusts, and foundations",
528,528,"Charitable uses, trusts, and foundations--Spain--Madrid",
535,535,Charities,
530,530,Charities--England--Early works to 1800,
534,534,Charities--Massachusetts--Boston,
531,531|533,Charities--Pennsylvania--Philadelphia,
532,532,Charities--Spain--History,
537,537,Charity-schools--Pennsylvania--Philadelphia,
536,536,Charity--Sermons,
538,538|539,Charleston--South Carolina--History,
540,540,"Charlestown (Boston, Mass.)--Church history",
